name,max,remaining,used,percentUsed,severity,severityIcon,label
ActiveScratchOrgs,3,3,0,0,success,✅," Active Scratch Orgs"
AnalyticsExternalDataSizeMB,40960,40960,0,0,success,✅," Analytics External Data Size M B"
CdpAiInferenceApiMonthlyLimit,500000000,500000000,0,0,success,✅," Cdp Ai Inference Api Monthly Limit"
ConcurrentAsyncGetReportInstances,200,200,0,0,success,✅," Concurrent Async Get Report Instances"
ConcurrentEinsteinDataInsightsStoryCreation,5,5,0,0,success,✅," Concurrent Einstein Data Insights Story Creation"
ConcurrentEinsteinDiscoveryStoryCreation,2,2,0,0,success,✅," Concurrent Einstein Discovery Story Creation"
ConcurrentSyncReportRuns,20,20,0,0,success,✅," Concurrent Sync Report Runs"
ContentDistBandwidthLimitMB,51200,51200,0,0,success,✅," Content Dist Bandwidth Limit M B"
ContentDistViewLimit,50000,50000,0,0,success,✅," Content Dist View Limit"
ContentPublicationLimit,2500,2500,0,0,success,✅," Content Publication Limit"
DailyAnalyticsDataflowJobExecutions,60,60,0,0,success,✅," Daily Analytics Dataflow Job Executions"
DailyAnalyticsUploadedFilesSizeMB,51200,51200,0,0,success,✅," Daily Analytics Uploaded Files Size M B"
DailyApiRequests,15000,11682,3318,22.12,success,✅," Daily Api Requests"
DailyAsyncApexExecutions,250000,250000,0,0,success,✅," Daily Async Apex Executions"
DailyAsyncApexTests,1660,1660,0,0,success,✅," Daily Async Apex Tests"
DailyBulkApiBatches,15000,15000,0,0,success,✅," Daily Bulk Api Batches"
DailyBulkV2QueryFileStorageMB,976562,976562,0,0,success,✅," Daily Bulk V2 Query File Storage M B"
DailyBulkV2QueryJobs,10000,10000,0,0,success,✅," Daily Bulk V2 Query Jobs"
DailyDeliveredPlatformEvents,10000,10000,0,0,success,✅," Daily Delivered Platform Events"
DailyDurableGenericStreamingApiEvents,10000,10000,0,0,success,✅," Daily Durable Generic Streaming Api Events"
DailyDurableStreamingApiEvents,10000,10000,0,0,success,✅," Daily Durable Streaming Api Events"
DailyEinsteinDataInsightsStoryCreation,1000,1000,0,0,success,✅," Daily Einstein Data Insights Story Creation"
DailyEinsteinDiscoveryOptimizationJobRuns,25,25,0,0,success,✅," Daily Einstein Discovery Optimization Job Runs"
DailyEinsteinDiscoveryPredictAPICalls,50000,50000,0,0,success,✅," Daily Einstein Discovery Predict A P I Calls"
DailyEinsteinDiscoveryPredictionsByCDC,500000,500000,0,0,success,✅," Daily Einstein Discovery Predictions By C D C"
DailyEinsteinDiscoveryStoryCreation,100,100,0,0,success,✅," Daily Einstein Discovery Story Creation"
DailyFunctionsApiCallLimit,50000,50000,0,0,success,✅," Daily Functions Api Call Limit"
DailyGenericStreamingApiEvents,10000,10000,0,0,success,✅," Daily Generic Streaming Api Events"
DailyMetadataRetrievesWithDependencies,25,25,0,0,success,✅," Daily Metadata Retrieves With Dependencies"
DailyScratchOrgs,6,6,0,0,success,✅," Daily Scratch Orgs"
DailyServiceEmailAgentforceCalls,5000,5000,0,0,success,✅," Daily Service Email Agentforce Calls"
DailyStandardVolumePlatformEvents,10000,10000,0,0,success,✅," Daily Standard Volume Platform Events"
DailyStreamingApiEvents,10000,10000,0,0,success,✅," Daily Streaming Api Events"
DailyWorkflowEmails,5025,5025,0,0,success,✅," Daily Workflow Emails"
DataStorageMB,5,5,0,0,success,✅," Data Storage M B"
DurableStreamingApiConcurrentClients,20,20,0,0,success,✅," Durable Streaming Api Concurrent Clients"
ExternalServicesActiveObjects,3000,3000,0,0,success,✅," External Services Active Objects"
ExternalServicesActiveOperations,3000,3000,0,0,success,✅," External Services Active Operations"
ExternalServicesObjectProperties,400000,400000,0,0,success,✅," External Services Object Properties"
ExternalServicesObjects,10000,10000,0,0,success,✅," External Services Objects"
ExternalServicesOperations,10000,10000,0,0,success,✅," External Services Operations"
ExternalServicesRegistrations,700,700,0,0,success,✅," External Services Registrations"
FileStorageMB,20,20,0,0,success,✅," File Storage M B"
HourlyAsyncReportRuns,1200,1200,0,0,success,✅," Hourly Async Report Runs"
HourlyDashboardRefreshes,200,200,0,0,success,✅," Hourly Dashboard Refreshes"
HourlyDashboardResults,5000,5000,0,0,success,✅," Hourly Dashboard Results"
HourlyDashboardStatuses,999999999,999999999,0,0,success,✅," Hourly Dashboard Statuses"
HourlyElevateAsyncReportRuns,1200,1200,0,0,success,✅," Hourly Elevate Async Report Runs"
HourlyElevateSyncReportRuns,500,500,0,0,success,✅," Hourly Elevate Sync Report Runs"
HourlyLongTermIdMapping,100000,100000,0,0,success,✅," Hourly Long Term Id Mapping"
HourlyManagedContentPublicRequests,50000,50000,0,0,success,✅," Hourly Managed Content Public Requests"
HourlyODataCallout,1000,1000,0,0,success,✅," Hourly O Data Callout"
HourlyPublishedPlatformEvents,50000,50000,0,0,success,✅," Hourly Published Platform Events"
HourlyPublishedStandardVolumePlatformEvents,1000,1000,0,0,success,✅," Hourly Published Standard Volume Platform Events"
HourlyShortTermIdMapping,100000,100000,0,0,success,✅," Hourly Short Term Id Mapping"
HourlySyncReportRuns,500,500,0,0,success,✅," Hourly Sync Report Runs"
HourlyTimeBasedWorkflow,1000,1000,0,0,success,✅," Hourly Time Based Workflow"
MassEmail,10,10,0,0,success,✅," Mass Email"
MaxContentDocumentsLimit,30000000,30000000,0,0,success,✅," Max Content Documents Limit"
MonthlyEinsteinDiscoveryStoryCreation,500,500,0,0,success,✅," Monthly Einstein Discovery Story Creation"
Package2VersionCreates,6,6,0,0,success,✅," Package2 Version Creates"
Package2VersionCreatesWithoutValidation,500,500,0,0,success,✅," Package2 Version Creates Without Validation"
PermissionSets,1500,1493,7,0.47,success,✅," Permission Sets"
PlatformEventTriggersWithParallelProcessing,5,5,0,0,success,✅," Platform Event Triggers With Parallel Processing"
PublishCallbackUsageInApex,5242880,5242880,0,0,success,✅," Publish Callback Usage In Apex"
SingleEmail,15,15,0,0,success,✅," Single Email"
StreamingApiConcurrentClients,20,20,0,0,success,✅," Streaming Api Concurrent Clients"